Room Name,Floor,Building Name,House Name,Original Image
560,4,Burton-Judson,Salisbury,008_BJ_Salisbury_4_pdf_house_0.png
624,2,Burton-Judson,Linn Mathews,014_BJ_Linn_Mathews_2_pdf_house_0.png
622,2,Burton-Judson,Linn Mathews,014_BJ_Linn_Mathews_2_pdf_house_0.png
6238,2,Burton-Judson,Linn Mathews,014_BJ_Linn_Mathews_2_pdf_house_0.png
Single 726,2,Burton-Judson,Linn Mathews,014_BJ_Linn_Mathews_2_pdf_house_0.png
629D,2,Burton-Judson,Linn Mathews,014_BJ_Linn_Mathews_2_pdf_house_0.png
7234,2,Burton-Judson,Linn Mathews,014_BJ_Linn_Mathews_2_pdf_house_0.png
Single 621,2,Burton-Judson,Linn Mathews,014_BJ_Linn_Mathews_2_pdf_house_0.png
620,2,Burton-Judson,Linn Mathews,014_BJ_Linn_Mathews_2_pdf_house_0.png
629A,2,Burton-Judson,Linn Mathews,014_BJ_Linn_Mathews_2_pdf_house_0.png
Single 727,2,Burton-Judson,Linn Mathews,014_BJ_Linn_Mathews_2_pdf_house_0.png
724,2,Burton-Judson,Linn Mathews,014_BJ_Linn_Mathews_2_pdf_house_0.png
5468,4,Burton-Judson,Coulter,020_BJ_Coulter_4_pdf_house_0.png
3408,4,Burton-Judson,Chamberlin,024_BJ_Chamberlin_4_pdf_house_0.png
387,4,Burton-Judson,Chamberlin,024_BJ_Chamberlin_4_pdf_house_0.png
343,4,Burton-Judson,Chamberlin,024_BJ_Chamberlin_4_pdf_house_0.png
3404,4,Burton-Judson,Chamberlin,024_BJ_Chamberlin_4_pdf_house_0.png
316,1,Burton-Judson,Chamberlin,028_BJ_Chamberlin_1_pdf_house_0.png
240,3,Burton-Judson,Dodd Mead,012_BJ_Dodd_Mead_3_pdf_house_0.png
Single 230,3,Burton-Judson,Dodd Mead,012_BJ_Dodd_Mead_3_pdf_house_0.png
232,3,Burton-Judson,Dodd Mead,012_BJ_Dodd_Mead_3_pdf_house_0.png
827,2,Burton-Judson,Salisbury,002_BJ_Salisbury_2_pdf_house_0.png
Single 826,2,Burton-Judson,Salisbury,002_BJ_Salisbury_2_pdf_house_0.png
8298,2,Burton-Judson,Salisbury,002_BJ_Salisbury_2_pdf_house_0.png
Double 825,2,Burton-Judson,Salisbury,002_BJ_Salisbury_2_pdf_house_0.png
Single 828,2,Burton-Judson,Salisbury,002_BJ_Salisbury_2_pdf_house_0.png
737,3,Burton-Judson,Linn Mathews,010_BJ_Linn_Mathews_3_pdf_house_0.png
733,3,Burton-Judson,Linn Mathews,010_BJ_Linn_Mathews_3_pdf_house_0.png
483,3,Burton-Judson,Linn Mathews,010_BJ_Linn_Mathews_3_pdf_house_0.png
535,3,Burton-Judson,Coulter,018_BJ_Coulter_3_pdf_house_0.png
536D,3,Burton-Judson,Coulter,018_BJ_Coulter_3_pdf_house_0.png
530,3,Burton-Judson,Coulter,018_BJ_Coulter_3_pdf_house_0.png
3508,5,Burton-Judson,Chamberlin,026_BJ_Chamberlin_5_pdf_house_0.png
350A,5,Burton-Judson,Chamberlin,026_BJ_Chamberlin_5_pdf_house_0.png
355,5,Burton-Judson,Chamberlin,026_BJ_Chamberlin_5_pdf_house_0.png
353,5,Burton-Judson,Chamberlin,026_BJ_Chamberlin_5_pdf_house_0.png
356,5,Burton-Judson,Chamberlin,026_BJ_Chamberlin_5_pdf_house_0.png
351,5,Burton-Judson,Chamberlin,026_BJ_Chamberlin_5_pdf_house_0.png
352,5,Burton-Judson,Chamberlin,026_BJ_Chamberlin_5_pdf_house_0.png
142,2,Burton-Judson,Coulter,021_BJ_Coulter_2_pdf_house_0.png
529A,2,Burton-Judson,Coulter,021_BJ_Coulter_2_pdf_house_0.png
525,2,Burton-Judson,Coulter,021_BJ_Coulter_2_pdf_house_0.png
520,2,Burton-Judson,Coulter,021_BJ_Coulter_2_pdf_house_0.png
426,2,Burton-Judson,Coulter,021_BJ_Coulter_2_pdf_house_0.png
Single 550,5,Burton-Judson,Coulter,022_BJ_Coulter_5_pdf_house_0.png
322,2,Burton-Judson,Chamberlin,025_BJ_Chamberlin_2_pdf_house_0.png
321,2,Burton-Judson,Chamberlin,025_BJ_Chamberlin_2_pdf_house_0.png
329,2,Burton-Judson,Chamberlin,025_BJ_Chamberlin_2_pdf_house_0.png
3204,2,Burton-Judson,Chamberlin,025_BJ_Chamberlin_2_pdf_house_0.png
323,2,Burton-Judson,Chamberlin,025_BJ_Chamberlin_2_pdf_house_0.png
3208,2,Burton-Judson,Chamberlin,025_BJ_Chamberlin_2_pdf_house_0.png
Single 325,2,Burton-Judson,Chamberlin,025_BJ_Chamberlin_2_pdf_house_0.png
Single 33cR,3,Burton-Judson,Chamberlin,023_BJ_Chamberlin_3_pdf_house_0.png
330,3,Burton-Judson,Chamberlin,023_BJ_Chamberlin_3_pdf_house_0.png
335,3,Burton-Judson,Chamberlin,023_BJ_Chamberlin_3_pdf_house_0.png
330A,3,Burton-Judson,Chamberlin,023_BJ_Chamberlin_3_pdf_house_0.png
333,3,Burton-Judson,Chamberlin,023_BJ_Chamberlin_3_pdf_house_0.png
334,3,Burton-Judson,Chamberlin,023_BJ_Chamberlin_3_pdf_house_0.png
336,3,Burton-Judson,Chamberlin,023_BJ_Chamberlin_3_pdf_house_0.png
338,3,Burton-Judson,Chamberlin,023_BJ_Chamberlin_3_pdf_house_0.png
3308,3,Burton-Judson,Chamberlin,023_BJ_Chamberlin_3_pdf_house_0.png
332,3,Burton-Judson,Chamberlin,023_BJ_Chamberlin_3_pdf_house_0.png
331,3,Burton-Judson,Chamberlin,023_BJ_Chamberlin_3_pdf_house_0.png
426,2,Burton-Judson,Vincent,006_BJ_Vincent_2_pdf_house_0.png
Single 439,3,Burton-Judson,Vincent,003_BJ_Vincent_3_pdf_house_0.png
Bathroom 8391,3,Burton-Judson,Salisbury,001_BJ_Salisbury_3_pdf_house_0.png
Single 17,3,Burton-Judson,Salisbury,001_BJ_Salisbury_3_pdf_house_0.png
Single 335,3,Burton-Judson,Salisbury,001_BJ_Salisbury_3_pdf_house_0.png
337,3,Burton-Judson,Salisbury,001_BJ_Salisbury_3_pdf_house_0.png
2398,3,Burton-Judson,Salisbury,001_BJ_Salisbury_3_pdf_house_0.png
Single 743,4,Burton-Judson,Linn Mathews,011_BJ_Linn_Mathews_4_pdf_house_0.png
